question_id,question,Body_Ans1,Body_Ans2,Body_Ans3,Body_Ans4,wait
AIML_1000,What do you understand by Artificial Intelligence,"Artificial intelligence is computer science technology that emphasizes creating intelligent machine that can mimic human behavior. Here Intelligent machines can be defined as the machine that can behave like a human, think like a human, and also capable of decision making. It is made up of two words, ""Artificial"" and ""Intelligence,"" which means the ""man-made thinking ability.""
With artificial intelligence, we do not need to pre-program the machine to perform a task; instead, we can create a machine with the programmed algorithms, and it can work on its own","AI can be described as an area of computer science that simulates human intelligence in machines. It's about smart algorithms making decisions based on the available data.

Whether it's Amazon's Alexa or a self-driving car, the goal is to mimic human intelligence at lightning speed (and with a reduced rate of error).",,,60
AIML_1001,Why do we need Artificial Intelligence,"The goal of Artificial intelligence is to create intelligent machines that can mimic human behavior. We need AI for today's world to solve complex problems, make our lives more smoothly by automating the routine work, saving the manpower, and to perform many more other tasks.",,,,60
AIML_1002,Give some real-world applications of AI? Give some real-world applications of AI,"Google Search Engine: When we start writing something on the google search engine, we immediately get the relevant recommendations from google, and this is because of different AI technologies.
Ridesharing Applications: Different ride-sharing applications such as Uber uses AI and machine learning to determine the type of ride, minimize the time once the car is hailed by the user, price of the ride, etc.
Spam Filters in Email: The AI is also used for email spam filtering so that you can get the important and relevant emails only in your inbox. As per the studies, Gmail successfully filters 99.9% of spam mails.","Social Networking: Different social networking sites such as Facebook, Instagram, Pinterest, etc., use the AI technology for different purposes such as face recognition and friend suggestions, when you upload a photograph on Facebook, understanding the contextual meaning of an emoji in Instagram, and so on.
Product recommendations: When we search for a product on Amazon, we get the recommendation for similar products, and this is because of different ML algorithms. Similarly, on Netflix, we get personalized recommendations for movies and web series.
Sentient Analysis: Sentiment analysis (or opinion mining) is a natural language processing technique used to determine whether data is positive, negative or neutral. Sentiment analysis is often performed on textual data to help businesses monitor brand and product sentiment in customer feedback, and understand customer needs.","Some compelling examples of AI applications are:

Chatbots
Facial recognition
Image tagging
Natural language processing
Sales prediction
Self-driving cars
Sentiment analysis",,60
AIML_1003,What are the different domains/Subsets of AI,"Machine Learning
Deep Learning
Neural Network
Expert System
Fuzzy Logic
Natural Language Processing
Robotics
Speech Recognition. Read More",,,,60
AIML_1004,What are the types of Machine Learning,"Supervised Learning
Unsupervised Learning
Reinforcement Learning",,,,60
AIML_1005,What is Supervised Learning,Supervised learning is a type of Machine learning in which the machine needs external supervision to learn from data. The supervised learning models are trained using the labeled dataset. Regression and Classification are the two main problems that can be solved with Supervised Machine Learning.,,,,60
AIML_1006,What is Unsupervised Learning,"It is a type of machine learning in which the machine does not need any external supervision to learn from the data, hence called unsupervised learning. The unsupervised models can be trained using the unlabelled dataset. These are used to solve the Association and Clustering problems.",,,,60
AIML_1007,What is Reinforcement Learning,"In Reinforcement learning, an agent interacts with its environment by producing actions, and learn with the help of feedback. The feedback is given to the agent in the form of rewards, such as for each good action, he gets a positive reward, and for each bad action, he gets a negative reward. There is no supervision provided to the agent. Q-Learning algorithm is used in reinforcement learning.",,,,60
AIML_1008,What is Deep Learning,"Deep learning is a subset of Machine learning that mimics the working of the human brain. It is inspired by the human brain cells, called neurons, and works on the concept of neural networks to solve complex real-world problems. It is also known as the deep neural network or deep neural learning.",,,,60
AIML_1009,Give some real-world applications of deep learning,"Adding different colors to the black&white images
Computer vision
Text generation
Deep-Learning Robots, etc.",,,,60
AIML_1010,Which programming language is used for AI,"Python
Java
Lisp
R
Prolog",,,,60
AIML_1011, How is machine learning related to AI,"Machine learning is a subset or subfield of Artificial intelligence. It is a way of achieving AI. As both are the two different concepts and the relation between both can be understood as ""AI uses different Machine learning algorithms and concepts to solve the complex problems.""",,,,60
AIML_1012,What is Markov's Decision process,"The solution for a reinforcement learning problem can be achieved using the Markov decision process or MDP. Hence, MDP is used to formalize the RL problem. It can be said as the mathematical approach to solve a reinforcement learning problem. The main aim of this process is to gain maximum positive rewards by choosing the optimum policy.","MDP has four elements, which are:
A set of finite states S
A set of finite actions A
Rewards
Policy Pa
In this process, the agent performs an action A to take a transition from state S1 to S2 or from the start state to the end state, and while doing these actions, the agent gets some rewards. The series of actions taken by the agent can be defined as the policy.",,,60
AIML_1013,What do you understand by the reward maximization,"Reward maximization term is used in reinforcement learning, and which is a goal of the reinforcement learning agent. In RL, a reward is a positive feedback by taking action for a transition from one state to another.","Reinforcement learning agent performs a good action by applying optimal policies, he gets a reward, and if he performs a bad action, one reward is subtracted. The goal of the agent is to maximize these rewards by applying optimal policies, which is termed as reward maximization.",,,60
AIML_1014,What are parametric model,"The parametric models use a fixed number of the parameters to create the ML model. It considers strong assumptions about the data. The examples of the parametric models are Linear regression, Logistic Regression, Naive Bayes, Perceptron, etc.",,,,60
AIML_1015,What are non-parametric model,"The non-parametric model uses flexible numbers of parameters. It considers a few assumptions about the data. These models are good for higher data and no prior knowledge. The examples of the non-parametric models are Decision Tree, K-Nearest Neighbour, SVM with Gaussian kernels, etc.",,,,60
AIML_1016,What do you understand by the hyperparameter,"In machine learning, hyperparameter is the parameters that determine and control the complete training process. The examples of these parameters are Learning rate, Hidden Layers, Hidden units, Activation functions, etc. These parameters are external from the model. The selection of good hyperparameters makes a better algorithm.",,,,60
AIML_1017,Explain the Hidden Markov model,"Hidden Markov model is a statistical model used for representing the probability distributions over a chain of observations. In the hidden markov model, hidden defines a property that it assumes that the state of a process generated at a particular time is hidden from the observer, and Markov defines that it assumes that the process satisfies the Markov property. The HMM models are mostly used for temporal data.
The HMM is used in various applications such as reinforcement learning, temporal pattern recognition, etc.",,,,60
AIML_1018,"What is Strong AI, and how is it different from the Weak AI","Strong AI: Strong AI is about creating real intelligence artificially, which means a human-made intelligence that has sentiments, self-awareness, and emotions similar to humans. It is still an assumption that has a concept of building AI agents with thinking, reasoning, and decision-making capabilities similar to humans.
Weak AI: Weak AI is the current development stage of artificial intelligence that deals with the creation of intelligent agents and machines that can help humans and solve real-world complex problems. Siri and Alexa are examples of Weak AI programs.",,,,60
AIML_1019,Which assessment is used to test the intelligence of the machine,Turing Test,,,,60
AIML_1020,Give a brief introduction to the Turing test in AI," Turing test is one of the popular intelligence tests in Artificial intelligence. It is a test to determine that if a machine can think like a human or not. According to this test, a computer can only be said to be intelligent if it can mimic human responses under some particular conditions.
In this test, three players are involved, the first player is a computer, the second player is a human responder, and the third player is the human interrogator, and the interrogator needs to find which response is from the machine on the basis of questions and answers.","The Turing test, named after Alan Turing, is a method of testing a machine's human-level intelligence. For example, in a human-versus-machine scenario, a judge will be tasked with identifying which terminal was occupied by a human and which was occupied by a computer based on individual performance.

Whenever a computer can pass off as a human, it's deemed intelligent. The game has since evolved, but the premise remains the same.",,,60
AIML_1021,What is overfitting,"When the machine learning algorithm tries to capture all the data points, and hence, as a result, captures noise also, then overfitting occurs in the model. Due to this overfitting issue, the algorithm shows the low bias, but the high variance in the output. Overfitting is one of the main issues in machine learning.",,,,60
