,product,category,brand,mrp,sp,discount,sku,description,url
3,fruits-vegetables,"Potato, Onion & Tomato",Fresho,25.00,20.00,20,10000148,Onion,/pd/10000148/fresho-onion-1-kg/
4,fruits-vegetables,"Potato, Onion & Tomato",Fresho,46.25,37.00,20,10000159,Potato,/pd/10000159/fresho-potato-1-kg/
9,fruits-vegetables,Mangoes,bb Combo,333.75,267.00,20,1200345,Mango - Banganpalli,/pd/1200345/bb-combo-mango-banganpalli-3-kg/
10,fruits-vegetables,Mangoes,Fresho,111.25,89.00,20,10000298,Banganapalli Mango,/pd/10000298/fresho-banganapalli-mango-1-kg/
11,fruits-vegetables,Mangoes,Fresho,111.25,89.00,20,10000298,Banganapalli Mango,/pd/10000298/fresho-banganapalli-mango-1-kg/
77,fruits-vegetables,Organic Vegetables,Fresho,15.00,12.00,20,40022638,"Tomato - Local, Organically Grown",/pd/40022638/fresho-tomato-local-organically-grown-500-g/
78,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,68.75,55.00,20,40103540,Watermelon -  Medium,/pd/40103540/fresho-watermelon-medium-1-pc/
79,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,52.50,42.00,20,10000207,Watermelon  - Small,/pd/10000207/fresho-watermelon-small-1-pc/
80,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,52.50,42.00,20,10000207,Watermelon  - Small,/pd/10000207/fresho-watermelon-small-1-pc/
81,fruits-vegetables,"Banana, Sapota & Papaya",Fresho,27.50,22.00,20,10000025,Banana - Robusta,/pd/10000025/fresho-banana-robusta-1-kg/
82,fruits-vegetables,Cucumber & Capsicum,Fresho,30.00,24.00,20,10000102,Cucumber,/pd/10000102/fresho-cucumber-1-kg/
83,fruits-vegetables,Cucumber & Capsicum,Fresho,15.00,12.00,20,10000103,Cucumber,/pd/10000103/fresho-cucumber-500-g/
84,fruits-vegetables,Cucumber & Capsicum,Fresho,15.00,12.00,20,10000103,Cucumber,/pd/10000103/fresho-cucumber-500-g/
85,fruits-vegetables,Cabbage & Cauliflower,Fresho,18.75,15.00,20,10000066,Cabbage,/pd/10000066/fresho-cabbage-1-pc/
86,fruits-vegetables,Exotic Vegetables,Fresho,37.50,30.00,20,40004992,Sweet Corn,/pd/40004992/fresho-sweet-corn-2-pcs/
87,fruits-vegetables,Root Vegetables,Fresho,28.75,23.00,20,10000046,Beetroot,/pd/10000046/fresho-beetroot-500-g/
88,fruits-vegetables,Root Vegetables,Fresho,14.38,11.50,20,10000047,Beetroot,/pd/10000047/fresho-beetroot-250-g/
89,fruits-vegetables,Root Vegetables,Fresho,14.38,11.50,20,10000047,Beetroot,/pd/10000047/fresho-beetroot-250-g/
90,fruits-vegetables,Apples & Pomegranate,Fresho,156.25,125.00,20,40033819,Apple - Shimla,/pd/40033819/fresho-apple-shimla-4-pcs/
91,fruits-vegetables,"Lemon, Ginger & Garlic",Fresho,12.50,10.00,20,10000117,Ginger,/pd/10000117/fresho-ginger-100-g/
92,fruits-vegetables,"Lemon, Ginger & Garlic",Fresho,7.50,6.00,20,10000081,"Chilli - Green Long, Medium",/pd/10000081/fresho-chilli-green-long-medium-100-g/
93,fruits-vegetables,"Beans, Brinjals & Okra",Fresho,75.00,60.00,20,40089742,Beans - Haricot,/pd/40089742/fresho-beans-haricot-500-g/
94,fruits-vegetables,"Beans, Brinjals & Okra",Fresho,37.50,30.00,20,40089743,Beans - Haricot,/pd/40089743/fresho-beans-haricot-250-g/
95,fruits-vegetables,"Beans, Brinjals & Okra",Fresho,37.50,30.00,20,40089743,Beans - Haricot,/pd/40089743/fresho-beans-haricot-250-g/
96,fruits-vegetables,Organic Vegetables,Fresho,31.25,25.00,20,40023472,Onion - Organically Grown,/pd/40023472/fresho-onion-organically-grown-1-kg/
97,fruits-vegetables,Leafy Vegetables,Fresho,20.00,16.00,20,20000974,Methi,/pd/20000974/fresho-methi-100-g/
98,fruits-vegetables,Exotic Vegetables,Fresho,106.25,85.00,20,10000063,Broccoli,/pd/10000063/fresho-broccoli-500-g/
99,fruits-vegetables,"Lemon, Ginger & Garlic",Fresho,50.00,40.00,20,10000115,Garlic,/pd/10000115/fresho-garlic-250-g/
100,fruits-vegetables,Cucumber & Capsicum,Fresho,31.25,25.00,20,10000599,Cucumber - English,/pd/10000599/fresho-cucumber-english-500-g/
101,fruits-vegetables,"Beans, Brinjals & Okra",Fresho,32.50,26.00,20,10000054,Brinjal - Bottle Shape,/pd/10000054/fresho-brinjal-bottle-shape-500-g/
102,fruits-vegetables,Apples & Pomegranate,Fresho,186.25,149.00,20,40033824,"Apple - Red Delicious/Washington, Regular",/pd/40033824/fresho-apple-red-deliciouswashington-regular-4-pcs/
103,fruits-vegetables,Mangoes,Fresho,81.25,65.00,20,10000306,Lalbagh Mango - Sindhura,/pd/10000306/fresho-lalbagh-mango-sindhura-1-kg/
104,fruits-vegetables,"Banana, Sapota & Papaya",Fresho,60.00,48.00,20,10000152,Papaya - Medium,/pd/10000152/fresho-papaya-medium-1-pc/
105,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,37.50,30.00,20,40073761,Muskmelon - Striped,/pd/40073761/fresho-muskmelon-striped-1-pc/
